"cell","Agbl1","Bank1","Ccl5","Ccr9","Cd79a","Chil3","Cldn5","Col1a2","Col3a1","Ddx60","Dhx58","Gzma","Ifi30","Ifi35","Ifih1","Ifit1","Ifit2","Ifit3","Isg15","Kcnip4","Pkib","Prickle2","Retnlg","Rsad2","S100a8","S100a9","Samhd1","Sftpa1","Sftpb","St8sia6","Stat1","Usp18","Znfx1","unknow"
"(2235.78, 1026.38)",1,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,3,0,1
"(2235.82, 839.94)",0,1,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4,1,3
"(2235.84, 1686.96)",0,2,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,1,1,0,1,0,0,7,4,2
"(2235.90, 705.93)",2,1,1,0,0,0,6,0,1,1,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,4,2,3
"(2236.19, 2272.43)",0,0,0,0,1,0,0,2,3,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,2,3
"(2236.38, 1505.26)",0,1,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,5,2,1
"(2236.41, 2095.75)",1,12,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,4,0,0,2,3,1
"(2236.41, 527.03)",1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,2,3,3
"(2236.43, 516.98)",2,1,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,2,1,2,1,0,0,3,0,0,0,0,0,0,0,5,5,10
"(2236.58, 1195.65)",4,2,0,0,4,0,1,3,3,1,0,0,0,0,0,0,0,0,0,3,0,1,3,1,0,0,0,0,0,0,0,13,3,3
"(2236.85, 1224.08)",1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"(2237.02, 2362.83)",1,11,1,0,0,0,0,2,8,1,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,1,0,1,3,0,0,2,9,2
"(2237.09, 114.47)",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,4,3,0
"(2237.23, 1847.57)",0,3,0,0,1,0,0,1,2,3,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"(2237.27, 1938.16)",4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,2
"(2237.27, 849.57)",0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,4,0,6
"(2237.37, 2019.59)",0,4,4,0,1,0,0,7,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,5,0,0,6,7,3
"(2237.39, 1857.48)",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"(2237.64, 2381.62)",4,10,0,0,0,2,0,5,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,3,0,1,4,3,4
