cell,Agbl1,Angptl4,Bank1,Ccl5,Ccr9,Cd226,Cd44,Cd79a,Chil3,Cldn5,Col1a2,Col3a1,Col4a1,Col6a1,Col6a2,Col6a3,Ddx60,Dhx58,Gzma,H5NA,HA,Ifi30,Ifi35,Ifih1,Ifit1,Ifit2,Ifit3,Isg15,Kcnip4,M,NP,NS,Nectin2,PA,PA.97T,PA.T97I,PB1,PB2,PB2.192E,PB2.220I,PB2.627E,PB2.E192K,PB2.E627K,PB2.I220V,Pkib,Prickle2,Retnlg,Rsad2,S100a8,S100a9,Samhd1,Sdc2,Sdc4,Sftpa1,Sftpb,St8sia6,Stat1,Tlr4,Usp18,Znfx1
"(679.69, 2734.97)",3,1,29,0,0,1,1,0,1,0,2,5,0,3,0,0,4,0,0,0,3,1,0,0,0,0,1,2,0,3,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,8,6,5,9,0,0,3,0,6
"(679.90, 880.04)",2,0,0,0,0,0,0,0,0,1,4,2,0,0,0,0,3,0,1,0,0,0,0,0,0,3,4,1,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,1,0,0,0,0,1,0,2
"(679.91, 1318.11)",0,0,0,0,0,0,1,0,0,0,4,5,0,0,1,0,3,0,0,0,2,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,2,2,0,3
"(679.96, 89.03)",0,11,3,2,0,0,0,0,0,0,1,1,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,3,0,0,1,0,14,0,1
"(68.11, 2660.13)",0,0,0,0,0,1,2,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,2,7,0,0,0,1,1,0,1
"(68.23, 1036.38)",1,5,2,0,0,0,0,0,0,1,0,2,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,8,5,0,0,0,0,0,0,3
"(68.33, 1126.18)",0,3,1,0,0,1,0,0,0,0,5,14,0,3,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,6,0,0,1,0,4,0,0,0,0,0,1,0,0,0,0,0,8,0,0,0,0,3,1,0,0,0,1,4,1,1
"(68.40, 1828.31)",0,1,0,0,0,0,0,0,0,0,3,1,1,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,4,0,0
"(68.55, 97.13)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,1,4,0,1
"(680.08, 1972.53)",0,1,3,0,0,0,4,2,0,0,5,6,1,1,0,0,5,1,0,0,0,0,1,1,0,0,2,8,0,3,0,1,1,0,8,0,0,0,0,2,2,0,0,0,0,0,1,4,0,1,3,10,9,0,5,0,0,4,2,4
"(680.15, 1752.79)",2,2,1,0,0,0,0,0,0,0,4,1,0,0,0,0,5,2,0,0,2,2,0,0,0,0,2,3,0,2,0,0,0,0,7,0,0,0,0,8,4,0,0,0,0,0,1,4,0,0,0,2,1,0,1,0,0,7,3,0
"(680.15, 582.26)",1,3,1,0,0,3,0,0,0,1,4,0,0,1,0,2,1,0,0,0,0,0,0,2,0,0,0,1,0,3,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,3,0,0,0,1,3,0,0,0,0,7,1,2
"(680.23, 1048.08)",1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,3,1,2,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,4
"(680.33, 648.70)",1,5,0,0,0,3,0,0,0,0,3,0,0,2,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,4,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,12,0,0,0,0,4,2,2
