,cell,Agbl1,Angptl4,Bank1,Ccl5,Ccr9,Cd226,Cd44,Cd79a,Chil3,Cldn5,Col1a2,Col3a1,Col4a1,Col6a1,Col6a2,Col6a3,Ddx60,Dhx58,Gzma,H5NA,HA,Ifi30,Ifi35,Ifih1,Ifit1,Ifit2,Ifit3,Isg15,Kcnip4,M,NP,NS,Nectin2,PA,PA.97T,PA.T97I,PB1,PB2,PB2.192E,PB2.220I,PB2.627E,PB2.E192K,PB2.E627K,PB2.I220V,Pkib,Prickle2,Retnlg,Rsad2,S100a8,S100a9,Samhd1,Sdc2,Sdc4,Sftpa1,Sftpb,St8sia6,Stat1,Tlr4,Usp18,Znfx1,cluster
2423,"(2116.32, 764.87)",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Undefined
2424,"(2116.78, 1927.50)",1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,5,4,0,0,0,0,0,0,2,Fibroblasts
2425,"(2116.94, 1563.41)",3,0,1,0,0,0,0,0,0,3,3,2,0,4,1,0,9,1,0,0,0,3,4,0,0,0,0,7,0,3,0,1,1,0,0,0,0,0,0,0,6,0,1,0,0,0,0,2,0,1,0,43,4,11,22,0,5,0,2,13,Epithelial_cells
2426,"(2116.95, 1659.29)",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,Undefined
2427,"(2119.15, 680.93)",0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,5,0,0,0,0,0,0,0,Fibroblasts
2428,"(2119.45, 11.07)",0,1,0,0,0,0,0,0,0,0,5,2,0,1,0,0,3,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,3,0,0,3,Fibroblasts
2429,"(2120.01, 2302.01)",2,3,0,0,0,1,0,0,0,0,1,0,0,2,0,0,5,0,0,0,3,0,0,3,0,1,0,1,2,2,0,1,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,10,0,0,1,7,8,2,0,0,0,3,0,4,Macrophages
2430,"(2120.31, 1274.28)",0,0,0,1,0,0,0,0,0,1,2,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,5,NK_cells
2431,"(2120.73, 2213.37)",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,4,10,2,0,0,3,0,0,3,Epithelial_cells
2432,"(2121.13, 2639.23)",0,0,0,2,1,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,1,0,0,1,NK_cells
2433,"(2121.67, 261.76)",0,1,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,1,0,0,0,Fibroblasts
2434,"(2122.59, 2460.61)",2,0,0,1,1,0,0,0,0,1,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,2,0,0,0,0,0,4,4,NK_cells
2435,"(2122.61, 1704.00)",0,0,0,0,0,1,0,0,0,0,1,0,0,4,0,0,9,0,0,1,13,5,0,0,0,0,0,4,0,0,3,3,0,1,0,0,0,3,0,0,5,0,2,0,0,0,0,0,0,0,0,7,22,3,4,0,0,0,0,0,Epithelial_cells
2436,"(2123.80, 2751.06)",0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,3,0,0,0,0,1,2,0,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,2,0,0,1,11,8,8,0,0,1,1,0,2,Epithelial_cells
2437,"(2126.21, 1910.80)",0,0,0,1,0,0,0,0,0,0,1,9,0,4,0,0,9,0,8,0,0,0,1,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,6,0,0,1,0,0,1,NK_cells
2438,"(2126.46, 2698.28)",0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,14,0,0,0,0,2,0,1,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,1,6,0,0,0,0,1,0,10,0,0,4,12,17,2,0,0,0,0,0,5,Endothelial_cells
