,cell,Agbl1,Bank1,Ccl5,Ccr9,Cd79a,Chil3,Cldn5,Col1a2,Col3a1,Ddx60,Dhx58,Gzma,Ifi30,Ifi35,Ifih1,Ifit1,Ifit2,Ifit3,Isg15,Kcnip4,Pkib,Prickle2,Retnlg,Rsad2,S100a8,S100a9,Samhd1,Sftpa1,Sftpb,St8sia6,Stat1,Usp18,Znfx1,unknow,cluster
56,"(1007.20, 2339.98)",1,0,0,0,0,0,0,3,9,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,2,1,Fibroblasts
57,"(1007.51, 30.04)",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,2,0,0,Epithelial_cells
58,"(1007.74, 144.58)",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,Fibroblasts
59,"(1007.91, 2664.36)",1,2,0,0,2,0,0,0,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,7,1,Undefined
60,"(1007.96, 1468.93)",6,18,0,0,3,0,0,1,2,5,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,3,9,0,0,0,9,7,B_cells
61,"(1008.11, 2639.68)",0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,B_cells
62,"(1008.40, 2348.74)",0,2,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,Fibroblasts
63,"(1008.52, 2621.93)",0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,B_cells
64,"(1008.57, 159.55)",0,1,0,0,12,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,B_cells
65,"(1009.09, 2529.39)",2,5,0,0,0,1,0,2,6,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,1,0,0,0,4,1,4,Fibroblasts
66,"(1009.20, 1779.69)",0,1,0,0,0,0,0,1,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,Fibroblasts
67,"(1009.23, 345.49)",0,19,0,0,1,0,0,28,14,1,0,0,0,0,0,1,0,0,0,6,0,2,13,2,0,1,0,1,8,0,0,9,6,8,Fibroblasts
68,"(1009.26, 130.85)",1,21,1,0,0,0,0,5,5,11,0,0,0,0,0,0,0,0,0,10,0,0,0,0,1,0,0,1,4,0,1,1,7,8,B_cells
69,"(1009.80, 278.22)",0,1,0,0,0,0,0,2,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4,3,0,Fibroblasts
70,"(1009.89, 2464.19)",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Undefined
71,"(1009.93, 2231.30)",0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,1,2,0,Undefined
72,"(101.51, 1039.34)",1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,B_cells
73,"(101.62, 2434.77)",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Undefined
74,"(101.89, 1952.89)",0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,Fibroblasts
75,"(101.90, 1581.34)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16,3,2,Undefined
76,"(101.92, 1387.48)",0,11,0,1,0,0,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,2,1,0,Epithelial_cells
77,"(1010.20, 2865.38)",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,8,Macrophages
78,"(1010.54, 1440.84)",2,1,0,0,2,0,1,1,2,5,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,2,4,14,Undefined
79,"(1010.65, 2550.42)",0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,4,B_cells
80,"(1010.72, 2476.81)",0,1,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fibroblasts
81,"(1010.78, 2632.19)",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,B_cells
82,"(1010.94, 1483.82)",6,4,1,0,0,0,0,0,7,4,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,1,1,0,0,0,4,3,Fibroblasts
83,"(1010.98, 1341.92)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,B_cells
84,"(1011.05, 2500.97)",0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Fibroblasts
85,"(1011.16, 239.61)",1,0,0,0,2,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,B_cells
86,"(1011.35, 2313.40)",5,4,1,0,0,0,0,1,7,5,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,1,Fibroblasts
87,"(1011.43, 705.01)",0,2,1,0,0,0,0,5,9,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,1,0,0,1,0,0,0,2,5,5,Fibroblasts
88,"(1011.55, 1764.89)",0,3,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,3,Undefined
89,"(1011.92, 2007.42)",0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,Fibroblasts
90,"(1011.97, 2367.63)",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Fibroblasts
91,"(1012.10, 2578.71)",0,10,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,0,0,1,0,0,B_cells
92,"(1012.48, 1509.97)",10,11,0,0,1,0,1,1,7,10,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,1,8,0,1,3,9,3,Undefined
93,"(1012.48, 1612.38)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Undefined
94,"(1012.54, 2569.49)",0,0,0,0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,B_cells
95,"(1012.57, 361.51)",0,5,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,3,0,0,6,1,2,B_cells
96,"(1012.70, 1093.65)",0,2,0,0,0,0,0,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,Fibroblasts
97,"(1012.77, 1940.31)",0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Fibroblasts
98,"(1013.07, 2324.88)",0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Fibroblasts
99,"(1013.74, 1696.18)",0,4,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4,3,1,Macrophages
100,"(1014.17, 2382.44)",1,3,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,5,2,Macrophages
101,"(1014.25, 1660.84)",1,0,0,0,0,0,0,3,1,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,1,8,3,Fibroblasts
102,"(1014.69, 287.76)",0,0,0,0,0,0,0,3,14,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,3,2,Fibroblasts
103,"(1014.73, 2748.72)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Undefined
104,"(1014.90, 1530.83)",5,1,0,0,0,0,9,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,8,2,Endothelial_cells
105,"(1014.91, 751.38)",4,1,0,0,0,0,0,10,20,5,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,4,2,8,Fibroblasts
106,"(1014.98, 2405.74)",3,0,0,0,0,0,0,1,2,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,NK_cells
107,"(1015.06, 2352.00)",1,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fibroblasts
108,"(1015.27, 1593.70)",4,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,4,0,0,0,0,0,0,0,0,0,0,1,1,13,9,Macrophages
109,"(1015.33, 1901.07)",0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,B_cells
110,"(1015.59, 2375.00)",0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Undefined
111,"(1015.68, 1121.08)",4,2,2,1,2,0,1,3,13,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,20,4,4,Fibroblasts
112,"(1015.69, 33.93)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Undefined
113,"(1015.76, 1791.54)",0,0,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,Fibroblasts
114,"(1015.81, 2435.22)",3,11,2,0,0,0,0,4,6,5,0,1,0,0,0,0,0,0,0,7,0,1,1,0,0,0,0,0,0,0,1,5,7,4,Undefined
115,"(1015.82, 2256.81)",2,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,1,2,Fibroblasts
116,"(1016.37, 1423.77)",0,3,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,2,2,0,B_cells
117,"(1016.50, 2735.40)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Undefined
118,"(1016.82, 2454.20)",1,0,0,0,0,0,0,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,Fibroblasts
119,"(1017.11, 2818.67)",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Undefined
120,"(1017.14, 796.97)",1,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,5,2,1,Fibroblasts
121,"(1017.16, 1492.59)",2,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Fibroblasts
122,"(1017.28, 2488.84)",3,15,1,0,1,0,0,1,1,4,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,6,0,1,1,3,6,B_cells
123,"(1017.30, 1996.15)",3,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,8,0,3,NK_cells
124,"(1017.33, 209.84)",0,1,2,0,7,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,B_cells
125,"(1017.56, 2837.45)",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,3,0,1,Macrophages
126,"(1017.63, 2765.72)",0,5,1,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,2,1,Undefined
127,"(1017.72, 1809.59)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,4,0,5,Epithelial_cells
128,"(1017.86, 2267.14)",2,1,1,0,0,0,0,2,3,0,0,1,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,1,1,2,Neutrophils
129,"(1017.87, 1668.86)",0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,Fibroblasts
130,"(1018.19, 150.17)",5,5,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,1,3,B_cells
131,"(1018.28, 695.01)",0,12,0,0,0,1,0,5,9,4,0,0,0,0,0,0,0,0,0,2,0,2,5,0,1,1,0,2,8,0,0,20,2,1,Fibroblasts
132,"(1018.97, 13.46)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,B_cells
133,"(1019.03, 2644.17)",0,0,0,0,2,0,0,0,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,Undefined
134,"(1019.29, 2622.39)",1,4,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,3,2,Undefined
135,"(1019.68, 1640.55)",4,1,0,0,0,0,0,4,5,4,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,2,5,Fibroblasts
136,"(102.28, 1268.55)",1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,1,0,0,1,1,1,0,2,0,2,B_cells
137,"(102.37, 1093.10)",0,6,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3,0,3,4,1,T_cells
138,"(102.51, 1072.18)",4,3,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,1,0,0,0,0,0,6,2,5,Neutrophils
139,"(102.57, 2112.91)",3,1,0,0,0,0,0,4,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,6,8,6,Fibroblasts
